standort;jahr;monat;zahlungsbefehle;pfaendungsvollzuege;verwertungen
Kreuzlingen;2022;8;921;422;344
Bischofszell;2022;9;536;243;210
Kreuzlingen;2022;9;955;405;342
Weinfelden;2022;9;694;285;226
Bischofszell;2022;10;358;246;171
Kreuzlingen;2022;10;778;365;300
Steckborn;2022;10;380;209;148
Bischofszell;2022;11;588;200;161
Münchwilen;2022;11;832;440;305
Bischofszell;2022;12;384;147;112
Münchwilen;2022;12;693;285;157
Münchwilen;2020;1;766;390;268
Frauenfeld;2020;2;836;448;418
Kreuzlingen;2020;2;883;386;246
Steckborn;2020;2;325;158;103
Weinfelden;2020;2;576;238;183
Bischofszell;2020;3;410;132;103
Kreuzlingen;2020;3;555;181;137
Münchwilen;2020;4;849;162;43
Arbon;2020;5;1055;533;300
Münchwilen;2020;6;685;518;363
Frauenfeld;2020;7;1236;313;298
Steckborn;2020;7;444;165;122
Weinfelden;2020;7;727;161;112
Arbon;2020;8;1785;1009;715
Bischofszell;2020;8;602;263;259
Kreuzlingen;2020;8;1126;386;339
Arbon;2020;9;1444;927;651
Bischofszell;2020;9;475;274;210
Frauenfeld;2020;9;916;627;582
Steckborn;2020;9;397;192;157
Weinfelden;2020;9;654;291;177
Kreuzlingen;2020;10;798;278;183
Bischofszell;2020;11;451;317;219
Kreuzlingen;2020;11;831;432;241
Münchwilen;2020;11;776;517;298
Kreuzlingen;2020;12;651;414;282
Steckborn;2020;12;318;113;70
Kreuzlingen;2021;1;706;518;369
Münchwilen;2021;1;775;352;220
Frauenfeld;2021;2;633;329;221
Frauenfeld;2021;3;1144;380;277
Münchwilen;2021;3;1050;338;169
Arbon;2021;4;1200;556;396
Frauenfeld;2021;4;731;440;351
Kreuzlingen;2021;5;950;406;315
Münchwilen;2021;5;1005;477;341
Steckborn;2021;5;373;227;173
Weinfelden;2021;5;685;265;202
Kreuzlingen;2021;6;990;525;372
Steckborn;2021;7;271;154;108
Weinfelden;2021;7;492;218;139
Arbon;2021;8;1401;893;665
Steckborn;2021;8;358;264;182
Weinfelden;2021;8;605;317;259
Kreuzlingen;2021;9;706;413;276
Münchwilen;2021;9;820;463;324
Frauenfeld;2021;10;809;465;383
Kreuzlingen;2021;10;681;444;315
Steckborn;2021;10;289;115;75
Bischofszell;2021;11;425;244;195
Frauenfeld;2021;11;969;456;135
Münchwilen;2021;11;799;454;333
Arbon;2021;12;949;529;359
Frauenfeld;2021;12;642;260;154
Weinfelden;2021;12;376;158;118
Münchwilen;2022;1;769;402;301
Arbon;2022;2;1169;653;402
Frauenfeld;2022;2;688;331;151
Steckborn;2022;2;282;159;115
Weinfelden;2022;2;462;213;171
Frauenfeld;2022;3;1092;404;289
Münchwilen;2022;3;887;442;309
Steckborn;2022;3;364;233;140
Weinfelden;2022;3;607;278;197
Bischofszell;2022;4;513;178;116
Münchwilen;2022;4;876;292;206
Steckborn;2022;4;346;131;77
Weinfelden;2022;4;568;176;102
Arbon;2022;5;1567;778;470
Frauenfeld;2022;5;951;383;248
Steckborn;2022;5;409;167;103
Bischofszell;2022;6;578;372;323
Frauenfeld;2022;6;1264;470;314
Arbon;2022;7;1085;393;242
Münchwilen;2022;7;736;321;200
Steckborn;2022;7;278;140;109
Bischofszell;2022;8;581;306;250
Frauenfeld;2022;8;1125;712;509
Münchwilen;2022;8;1128;612;391
Steckborn;2022;8;411;219;154
Weinfelden;2022;8;679;245;180
Arbon;2022;9;1496;752;502
Steckborn;2022;9;401;233;161
Arbon;2022;10;1219;741;472
Münchwilen;2022;10;849;456;309
Weinfelden;2022;10;606;220;155
Kreuzlingen;2022;11;831;390;287
Frauenfeld;2022;12;702;318;201
Kreuzlingen;2022;12;586;236;183
Steckborn;2022;12;269;103;63
